Date(UTC),OrderNo,Pair,Type,Side,Order Price,Order Amount,Time,Executed,Average Price,Trading total,Status
2020-12-30 02:00:32,55598096,BTCGBP,Limit,BUY,20430,1.6415630000BTC,2020-12-30 02:01:29,1.6415630000BTC,20430,"33537.1320900000GBP",FILLED
2020-12-30 01:54:25,55596179,BTCGBP,Limit,BUY,20410,1.6431720000BTC,2020-12-30 01:59:47,0.0000000000BTC,0,0.0000000000GBP,CANCELED
2020-12-30 00:57:50,55570432,BTCGBP,Limit,SELL,20450,1.6391630000BTC,2020-12-30 00:57:56,1.6391630000BTC,20450.01632909,"33520.9101160400GBP",FILLED
2020-12-29 23:36:05,55521799,BTCGBP,Stop-Limit,BUY,20240,1.6408040000BTC,2020-12-29 23:37:49,1.6408040000BTC,20230.06338291,"33193.5689189400GBP",FILLED
2020-12-29 23:31:39,55519528,BTCGBP,Limit,BUY,20050,1.6563520000BTC,2020-12-29 23:32:19,0.0000000000BTC,0,0.0000000000GBP,CANCELED
2020-12-29 21:46:11,55480019,BTCGBP,Limit,BUY,19600,0.5053570000BTC,2020-12-29 23:09:39,0.0000000000BTC,0,0.0000000000GBP,CANCELED
2020-12-29 21:28:46,55470791,BTCGBP,Limit,BUY,19550,0.5092070000BTC,2020-12-29 23:09:40,0.0000000000BTC,0,0.0000000000GBP,CANCELED
2020-12-29 21:27:52,55470379,BTCGBP,Limit,BUY,19660,0.6790370000BTC,2020-12-29 23:09:38,0.0000000000BTC,0,0.0000000000GBP,CANCELED
2020-12-29 21:26:55,55470096,BTCGBP,Limit,BUY,19810,0.5000000000BTC,2020-12-29 21:45:58,0.0000000000BTC,0,0.0000000000GBP,CANCELED
2020-12-29 21:26:15,55469891,BTCGBP,Limit,BUY,19910,0.5000000000BTC,2020-12-29 21:28:27,0.0000000000BTC,0,0.0000000000GBP,CANCELED
2020-12-29 21:09:33,55460934,BTCGBP,Stop-Limit,BUY,20250,1.6399930000BTC,2020-12-29 21:25:14,0.0000000000BTC,0,0.0000000000GBP,CANCELED
2020-12-29 21:03:48,55457025,BTCGBP,Stop-Limit,BUY,20230,1.6416150000BTC,2020-12-29 21:09:08,0.0000000000BTC,0,0.0000000000GBP,CANCELED
2020-12-29 20:45:26,55449729,BTCGBP,Limit,BUY,19530,0.6902130000BTC,2020-12-29 21:03:14,0.0000000000BTC,0,0.0000000000GBP,CANCELED
