"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2020-12-30","55596179","BTCGBP","Limit","BUY","20410.0000000000","1.6431720000BTC","2020-12-30","0.0000000000BTC","0E-8","0.0000000000GBP","CANCELED"
"2020-12-30","55598096","BTCGBP","Limit","BUY","20430.0000000000","1.6415630000BTC","2020-12-30","1.6415630000BTC","20430.00000000","33537.1320900000GBP","FILLED"
"2020-12-30","55570432","BTCGBP","Limit","SELL","20450.0000000000","1.6391630000BTC","2020-12-30","1.6391630000BTC","20450.01632909","33520.9101160400GBP","FILLED"
"2020-12-29","55449518","BTCGBP","Limit","BUY","19800.0000000000","0.5000000000BTC","2020-12-29","0.0000000000BTC","0E-8","0.0000000000GBP","CANCELED"
"2020-12-29","55439492","BTCGBP","Limit","SELL","19965.0000000000","0.8986350000BTC","2020-12-29","0.1035670000BTC","19965.32409754","2067.7487208100GBP","PARTIALLY_FILLED"
"2020-12-29","55008868","BTCGBP","Limit","BUY","19950.0000000000","1.6656080000BTC","2020-12-29","1.6656080000BTC","19950.00000000","33228.8796000000GBP","FILLED"
"2020-12-29","55470096","BTCGBP","Limit","BUY","19810.0000000000","0.5000000000BTC","2020-12-29","0.0000000000BTC","0E-8","0.0000000000GBP","CANCELED"
"2020-12-29","55006160","BTCGBP","Limit","BUY","19500.0000000000","0.5000000000BTC","2020-12-29","0.0000000000BTC","0E-8","0.0000000000GBP","CANCELED"
"2020-12-29","55438992","BTCGBP","Limit","SELL","19965.0000000000","1.6639420000BTC","2020-12-29","0.7653070000BTC","19965.05703327","15279.3979029600GBP","PARTIALLY_FILLED"
"2020-12-29","54977719","BTCGBP","Limit","BUY","19660.0000000000","0.5000000000BTC","2020-12-29","0.0000000000BTC","0E-8","0.0000000000GBP","CANCELED"
"2020-12-29","55470791","BTCGBP","Limit","BUY","19550.0000000000","0.5092070000BTC","2020-12-29","0.0000000000BTC","0E-8","0.0000000000GBP","CANCELED"
"2020-12-29","55470379","BTCGBP","Limit","BUY","19660.0000000000","0.6790370000BTC","2020-12-29","0.0000000000BTC","0E-8","0.0000000000GBP","CANCELED"
