"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2020-12-30 02:01:29","BTCGBP","BUY","20430.0000000000","0.1500000000BTC","3064.50000000GBP","0.0000000000BTC"
"2020-12-30 02:01:29","BTCGBP","BUY","20430.0000000000","0.0000030000BTC","0.06129000GBP","0.0000000000BTC"
"2020-12-30 02:01:28","BTCGBP","BUY","20430.0000000000","0.6348900000BTC","12970.80270000GBP","0.0000000000BTC"
"2020-12-30 02:01:28","BTCGBP","BUY","20430.0000000000","0.1500000000BTC","3064.50000000GBP","0.0000000000BTC"
"2020-12-30 02:01:28","BTCGBP","BUY","20430.0000000000","0.1000000000BTC","2043.00000000GBP","0.0000000000BTC"
"2020-12-30 02:01:28","BTCGBP","BUY","20430.0000000000","0.6066700000BTC","12394.26810000GBP","0.0000000000BTC"
"2020-12-30 00:57:56","BTCGBP","SELL","20450.0000000000","0.0259480000BTC","530.63660000GBP","0.0000000000GBP"
"2020-12-30 00:57:56","BTCGBP","SELL","20450.0000000000","0.0000020000BTC","0.04090000GBP","0.0000000000GBP"
"2020-12-30 00:57:56","BTCGBP","SELL","20450.0000000000","0.0036350000BTC","74.33575000GBP","0.0000000000GBP"
"2020-12-30 00:57:56","BTCGBP","SELL","20450.0000000000","0.0012850000BTC","26.27825000GBP","0.0000000000GBP"
"2020-12-30 00:57:56","BTCGBP","SELL","20450.0000000000","0.1095060000BTC","2239.39770000GBP","0.0000000000GBP"
"2020-12-30 00:57:55","BTCGBP","SELL","20450.0000000000","0.0500000000BTC","1022.50000000GBP","0.0000000000GBP"
"2020-12-30 00:57:55","BTCGBP","SELL","20450.0000000000","0.0500000000BTC","1022.50000000GBP","0.0000000000GBP"
"2020-12-30 00:57:55","BTCGBP","SELL","20450.0000000000","0.0905000000BTC","1850.72500000GBP","0.0000000000GBP"
"2020-12-30 00:57:55","BTCGBP","SELL","20450.0000000000","0.0197800000BTC","404.50100000GBP","0.0000000000GBP"
"2020-12-30 00:57:55","BTCGBP","SELL","20450.0000000000","0.1000000000BTC","2045.00000000GBP","0.0000000000GBP"
"2020-12-30 00:57:52","BTCGBP","SELL","20450.0000000000","0.4612710000BTC","9432.99195000GBP","0.0000000000GBP"
"2020-12-30 00:57:52","BTCGBP","SELL","20450.0000000000","0.1403720000BTC","2870.60740000GBP","0.0000000000GBP"
"2020-12-30 00:57:51","BTCGBP","SELL","20450.0000000000","0.0026000000BTC","53.17000000GBP","0.0000000000GBP"
"2020-12-30 00:57:51","BTCGBP","SELL","20450.0000000000","0.5204440000BTC","10643.07980000GBP","0.0000000000GBP"
"2020-12-30 00:57:51","BTCGBP","SELL","20450.0000000000","0.0026000000BTC","53.17000000GBP","0.0000000000GBP"
"2020-12-30 00:57:51","BTCGBP","SELL","20450.0000000000","0.0026000000BTC","53.17000000GBP","0.0000000000GBP"
"2020-12-30 00:57:51","BTCGBP","SELL","20450.0000000000","0.0026000000BTC","53.17000000GBP","0.0000000000GBP"
