portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,307647,DOT-GBP,SELL,2021-09-23T23:12:51.456Z,9.83900000,DOT,23.894,1.17546533,233.91760067,GBP
default,328499,XRP-GBP,BUY,2020-11-23T23:45:46.985Z,10000.00000000,XRP,0.455,4.55,-4554.55,GBP
default,360160,XRP-GBP,BUY,2020-11-24T15:10:43.474Z,4959.00000000,XRP,0.49,2.42991,-2432.33991,GBP
default,360161,XRP-GBP,BUY,2020-11-24T15:10:43.501Z,5041.00000000,XRP,0.49,2.47009,-2472.56009,GBP
default,361351,XRP-GBP,SELL,2020-11-24T15:48:12.967Z,10010.00000000,XRP,0.5,5.005,4999.995,GBP
default,364306,XRP-GBP,BUY,2020-11-24T17:28:35.138Z,1000.00000000,XRP,0.501,0.501,-501.501,GBP
default,364310,XRP-GBP,BUY,2020-11-24T17:28:42.508Z,7000.00000000,XRP,0.501,3.507,-3510.507,GBP
default,364311,XRP-GBP,BUY,2020-11-24T17:28:42.515Z,2000.00000000,XRP,0.501,1.002,-1003.002,GBP
default,365061,XRP-GBP,SELL,2020-11-24T18:04:08.169Z,3.92387700,XRP,0.51,0.00200117727,1.99917609273,GBP
default,365062,XRP-GBP,SELL,2020-11-24T18:04:12.846Z,825.00000000,XRP,0.51,0.42075,420.32925,GBP
default,365063,XRP-GBP,SELL,2020-11-24T18:04:12.884Z,328.33869900,XRP,0.51,0.16745273649,167.28528375351,GBP
default,365064,XRP-GBP,SELL,2020-11-24T18:04:17.693Z,150.00000000,XRP,0.51,0.0765,76.4235,GBP
default,365065,XRP-GBP,SELL,2020-11-24T18:04:19.601Z,440.00000000,XRP,0.51,0.2244,224.1756,GBP
default,365068,XRP-GBP,SELL,2020-11-24T18:04:30.050Z,5000.00000000,XRP,0.51,2.55,2547.45,GBP
default,365069,XRP-GBP,SELL,2020-11-24T18:04:31.687Z,882.00000000,XRP,0.51,0.44982,449.37018,GBP
default,365070,XRP-GBP,SELL,2020-11-24T18:04:31.791Z,2370.73742400,XRP,0.51,1.20907608624,1207.86701015376,GBP
default,366248,XRP-GBP,BUY,2020-11-24T18:49:53.305Z,10000.00000000,XRP,0.5197,5.197,-5202.197,GBP
default,366848,XRP-GBP,SELL,2020-11-24T19:11:30.120Z,3070.33781000,XRP,0.53,1.6272790393,1625.6517602607,GBP
default,366849,XRP-GBP,SELL,2020-11-24T19:11:30.140Z,5000.00000000,XRP,0.53,2.65,2647.35,GBP
default,366850,XRP-GBP,SELL,2020-11-24T19:11:30.148Z,1929.66219000,XRP,0.53,1.0227209607,1021.6982397393,GBP
default,368451,XRP-GBP,BUY,2020-11-24T19:48:02.921Z,7.17505800,XRP,0.56,0.00401803248,-4.02205051248,GBP
default,368452,XRP-GBP,BUY,2020-11-24T19:48:04.509Z,150.68732000,XRP,0.56,0.0843848992,-84.4692840992,GBP
default,368453,XRP-GBP,BUY,2020-11-24T19:48:04.951Z,9842.13762000,XRP,0.56,5.5115970672,-5517.1086642672,GBP
default,368455,XRP-GBP,BUY,2020-11-24T19:48:08.087Z,0.00000200,XRP,0.56,1.12e-9,-0.00000112112,GBP
default,368732,XRP-GBP,SELL,2020-11-24T19:53:22.323Z,3506.00000000,XRP,0.55,1.9283,1926.3717,GBP
default,368733,XRP-GBP,SELL,2020-11-24T19:53:22.389Z,6494.00000000,XRP,0.55,3.5717,3568.1283,GBP
default,368913,XRP-GBP,BUY,2020-11-24T19:57:03.157Z,10000.00000000,XRP,0.555,5.55,-5555.55,GBP
default,483957,USDT-GBP,SELL,2021-10-09T22:49:22.836Z,5000.00000000,USDT,0.7347,0.36735,3673.13265,GBP
default,622454,DOT-GBP,SELL,2021-11-14T20:35:00.186Z,26.25000000,DOT,34.171,4.48494375,892.50380625,GBP
default,622455,DOT-GBP,SELL,2021-11-14T20:35:00.186Z,32.79000000,DOT,34.17,5.6021715,1114.8321285,GBP
default,622456,DOT-GBP,SELL,2021-11-14T20:35:00.186Z,65.58000000,DOT,34.161,11.2013919,2229.0769881,GBP
default,622457,DOT-GBP,SELL,2021-11-14T20:35:00.186Z,17.37500000,DOT,34.157,2.967389375,590.510485625,GBP
default,1014034,USDT-GBP,SELL,2022-01-21T11:34:02.022Z,58.32000000,USDT,0.738,0.004304016,43.035855984,GBP
default,1014035,USDT-GBP,SELL,2022-01-21T11:34:02.022Z,5000.00000000,USDT,0.738,0.369,3689.631,GBP
default,1014036,USDT-GBP,SELL,2022-01-21T11:34:02.046Z,1045.66000000,USDT,0.738,0,771.69708,GBP
default,1014037,USDT-GBP,SELL,2022-01-21T11:34:02.128Z,3452.23000000,USDT,0.738,0,2547.74574,GBP
default,1014038,USDT-GBP,SELL,2022-01-21T11:34:02.132Z,2971.11000000,USDT,0.738,0,2192.67918,GBP
default,1014039,USDT-GBP,SELL,2022-01-21T11:34:07.907Z,296.82000000,USDT,0.738,0,219.05316,GBP
default,1014040,USDT-GBP,SELL,2022-01-21T11:34:10.961Z,661.60000000,USDT,0.738,0,488.2608,GBP
default,1014041,USDT-GBP,SELL,2022-01-21T11:34:20.569Z,6774.39000000,USDT,0.738,0,4999.49982,GBP
default,1014043,USDT-GBP,SELL,2022-01-21T11:34:45.898Z,68.49000000,USDT,0.7379,0.0050538771,50.5337171229,GBP
default,1014044,USDT-GBP,SELL,2022-01-21T11:34:45.898Z,19997.02000000,USDT,0.7379,1.4755801058,14754.3254778942,GBP
default,1014045,USDT-GBP,SELL,2022-01-21T11:34:45.898Z,5000.00000000,USDT,0.7379,0.36895,3689.13105,GBP
default,1014046,USDT-GBP,SELL,2022-01-21T11:34:45.898Z,300.00000000,USDT,0.7378,0.022134,221.317866,GBP
default,1014047,USDT-GBP,SELL,2022-01-21T11:34:45.898Z,416.58000000,USDT,0.7378,0.0307352724,307.3219887276,GBP
default,1014048,USDT-GBP,SELL,2022-01-21T11:34:45.898Z,39994.02000000,USDT,0.7377,2.9503588554,29500.6381951446,GBP
default,1014049,USDT-GBP,SELL,2022-01-21T11:34:45.898Z,300.00000000,USDT,0.7377,0.022131,221.287869,GBP
default,1014050,USDT-GBP,SELL,2022-01-21T11:34:45.898Z,2226.06000000,USDT,0.7377,0.1642164462,1642.0002455538,GBP
default,1823892,ETH-GBP,BUY,2020-09-16T23:55:05.229Z,0.50000000,ETH,282,0.705,-141.705,GBP
default,1844426,ETH-GBP,BUY,2020-09-23T00:35:55.363Z,0.75000000,ETH,270,1.0125,-203.5125,GBP
default,1901004,ETH-GBP,BUY,2020-10-17T15:58:27.328Z,0.03487155,ETH,285.34,0.049751240385,-9.999999317385,GBP
default,1901033,ETH-GBP,BUY,2020-10-17T16:19:11.349Z,0.13994228,ETH,285.05,0.19945273457,-40.08999964857,GBP
default,1972551,ETH-GBP,BUY,2020-11-07T21:42:33.173Z,1.16000000,ETH,331,1.34386,-385.30386,GBP
default,2070544,ETH-GBP,BUY,2020-11-25T00:04:26.281Z,5.00000000,ETH,454.13,2.27065,-2272.92065,GBP
default,2070559,ETH-GBP,BUY,2020-11-25T00:07:53.943Z,5.00000000,ETH,453,2.265,-2267.265,GBP
default,2070572,ETH-GBP,BUY,2020-11-25T00:10:31.460Z,2.05366000,ETH,453,0.93030798,-931.23828798,GBP
default,2070573,ETH-GBP,BUY,2020-11-25T00:10:31.464Z,0.19634000,ETH,453,0.08894202,-89.03096202,GBP
default,2246072,ETH-GBP,SELL,2020-12-25T02:51:57.299Z,4.00000000,ETH,450.21,3.241512,1797.598488,GBP
default,2246073,ETH-GBP,SELL,2020-12-25T02:51:57.299Z,7.01571219,ETH,450.18,5.68499996464956,3152.64831372955044,GBP
default,2246074,ETH-GBP,SELL,2020-12-25T02:51:57.299Z,0.66334991,ETH,450,0.5373134271,297.9701460729,GBP
default,2246075,ETH-GBP,SELL,2020-12-25T02:51:57.316Z,3.12000000,ETH,450,1.1232,1402.8768,GBP
default,2246076,ETH-GBP,SELL,2020-12-25T02:52:16.887Z,0.00093790,ETH,450,0.000337644,0.421717356,GBP
default,2987066,XRP-BTC,SELL,2020-11-26T02:00:54.532Z,15.00000000,XRP,0.0000337,5.055e-7,0.0005049945,BTC
default,2987067,XRP-BTC,SELL,2020-11-26T02:00:58.490Z,9885.00000000,XRP,0.0000337,0.0003331245,0.3327913755,BTC
default,2987085,XRP-BTC,SELL,2020-11-26T02:01:54.221Z,9.00000000,XRP,0.0000338,3.042e-7,0.0003038958,BTC
default,3218350,XRP-BTC,BUY,2020-12-08T23:19:09.537Z,2642.00000000,XRP,0.00003044,0.00008042248,-0.08050290248,BTC
default,3218351,XRP-BTC,BUY,2020-12-08T23:19:09.852Z,20654.00000000,XRP,0.00003044,0.00062870776,-0.62933646776,BTC
