Time (UTC),Symbol,Side,Amount Received,Exec. Price,Amount Spent,Amount,Order Price,Fee rate,Fee paid,Type,ID
2023-12-29 23:22:31,IMX / USDT,Buy,307.29000000 IMX,2.29270000,704.52378300 USDT,2009.71550000 USDT,2.30000000,0.10%,0.30729000 IMX,Limit,ff19fb7b-9bdc-5c8d-a37c-ca8cac26fa3f
2023-12-29 23:22:31,IMX / USDT,Buy,418.33000000 IMX,2.29350000,959.43985500 USDT,2009.71550000 USDT,2.30000000,0.10%,0.41833000 IMX,Limit,f9602cab-3ca2-5df6-8ffe-d90c3cbc8a69
2023-12-29 23:22:31,IMX / USDT,Buy,150.71000000 IMX,2.29410000,345.74381100 USDT,2009.71550000 USDT,2.30000000,0.10%,0.15071000 IMX,Limit,72ed8c18-7a79-5038-8a0c-1504a6b8fae7
2023-12-29 23:21:09,BTC / USDT,Sell,867.51785890 USDT,41911.10000000,0.02069900 BTC,0.30000000 BTC,Market,0.10%,0.86751786 USDT,Market,0d4f69c5-ae1a-5b39-b005-67053509c1ba
2023-12-29 23:21:09,BTC / USDT,Sell,10080.50311068 USDT,41910.94000000,0.24052200 BTC,0.30000000 BTC,Market,0.10%,10.08050312 USDT,Market,b449a3e3-599d-5fc5-aff3-43c37a64f7b2
2023-12-29 23:21:09,BTC / USDT,Sell,1174.01373320 USDT,41911.10000000,0.02801200 BTC,0.30000000 BTC,Market,0.10%,1.17401374 USDT,Market,6c1a50ad-2e7e-52d0-a8b5-5174e3c940f1
2023-12-29 23:21:09,BTC / USDT,Sell,451.25692137 USDT,41911.11000000,0.01076700 BTC,0.30000000 BTC,Market,0.10%,0.45125693 USDT,Market,49cdac9b-dcdb-5c10-beb1-9412d3944cfd
2023-12-28 19:35:40,SNX / USDT,Buy,33.10100000 SNX,4.13700000,136.93883700 USDT,5197.92700000 USDT,4.16000000,0.10%,0.03310100 SNX,Limit,79c2e831-c7c0-591f-9f14-1ea6dad1650d
2023-12-28 19:35:40,SNX / USDT,Buy,321.19500000 SNX,4.13800000,1329.10491000 USDT,5197.92700000 USDT,4.16000000,0.10%,0.32119500 SNX,Limit,fe19dd37-fbb0-51f3-a703-46abba1b66f0
2023-12-28 19:35:40,SNX / USDT,Buy,4.43400000 SNX,4.13300000,18.32572200 USDT,5197.92700000 USDT,4.16000000,0.10%,0.00443400 SNX,Limit,9124055c-6168-5fa7-a737-e3677edabdc6
2023-12-28 19:35:40,SNX / USDT,Buy,22.66100000 SNX,4.13400000,93.68057400 USDT,5197.92700000 USDT,4.16000000,0.10%,0.02266100 SNX,Limit,8269bb34-4d7d-5670-b877-fd27ac7b1d70
2023-12-28 19:35:40,SNX / USDT,Buy,29.21500000 SNX,4.13800000,120.89167000 USDT,5197.92700000 USDT,4.16000000,0.10%,0.02921500 SNX,Limit,76deed45-5ba5-5189-8ceb-d30d5cc1f8b9
2023-12-28 19:35:40,SNX / USDT,Buy,1.87000000 SNX,4.14000000,7.74180000 USDT,5197.92700000 USDT,4.16000000,0.10%,0.00187000 SNX,Limit,742d40c2-1010-59ff-ab9f-ccbf2f9fcbe9
2023-12-28 19:35:40,SNX / USDT,Buy,703.89700000 SNX,4.13900000,2913.42968300 USDT,5197.92700000 USDT,4.16000000,0.10%,0.70389700 SNX,Limit,699edab1-9844-5b2e-93f0-102e9099d51e
2023-12-28 19:35:40,SNX / USDT,Buy,22.63600000 SNX,4.13900000,93.69040400 USDT,5197.92700000 USDT,4.16000000,0.10%,0.02263600 SNX,Limit,58bbc951-4d3a-59cf-9785-d2269063dc89
2023-12-28 19:35:40,SNX / USDT,Buy,11.12200000 SNX,4.13700000,46.01171400 USDT,5197.92700000 USDT,4.16000000,0.10%,0.01112200 SNX,Limit,0b9e6d9f-ef77-5be5-90bd-a8c559c0516d
2023-12-28 19:35:40,SNX / USDT,Buy,20.55000000 SNX,4.13800000,85.03590000 USDT,5197.92700000 USDT,4.16000000,0.10%,0.02055000 SNX,Limit,1923831d-bee9-5c46-845d-2ef52cf2551c
2023-12-28 19:35:40,SNX / USDT,Buy,30.46100000 SNX,4.13900000,126.07807900 USDT,5197.92700000 USDT,4.16000000,0.10%,0.03046100 SNX,Limit,2cec0b32-04ba-577a-9a76-4301f290a512
2023-12-28 19:35:40,SNX / USDT,Buy,54.89600000 SNX,4.13500000,226.99496000 USDT,5197.92700000 USDT,4.16000000,0.10%,0.05489600 SNX,Limit,36e807cd-4866-5829-94b6-f06519984cc0
2023-12-28 19:33:23,BTC / USDT,Sell,391.73977559 USDT,42566.53000000,0.00920300 BTC,0.10000000 BTC,Market,0.10%,0.39173978 USDT,Market,4533a9c6-d7ea-538f-a3b3-175a3d950dcc
